freq,sectperf,unit,geo,Ano,Valor
A,TOTAL,PC_GDP,SE22,2013 ,3.75
A,TOTAL,PC_GDP,SE23,2013 ,3.59
A,TOTAL,PC_GDP,SE31,2013 ,1.34
A,TOTAL,PC_GDP,SE32,2013 ,0.79
A,TOTAL,PC_GDP,SE33,2013 ,2.46
A,TOTAL,PC_GDP,SI01,2013 ,2.09
A,TOTAL,PC_GDP,SI02,2013 ,2.97
A,TOTAL,PC_GDP,SI03,2013 ,2.06
A,TOTAL,PC_GDP,SI04,2013 ,2.97
A,TOTAL,PC_GDP,SK01,2013 ,1.63
A,TOTAL,PC_GDP,SK02,2013 ,0.34
A,TOTAL,PC_GDP,SK03,2013 ,0.65
A,TOTAL,PC_GDP,SK04,2013 ,0.58
A,TOTAL,PC_GDP,UKC1,2013 ,0.97
A,TOTAL,PC_GDP,UKC2,2013 ,1.1
A,TOTAL,PC_GDP,UKD1,2013 ,0.55
A,TOTAL,PC_GDP,UKD3,2013 ,0.81
A,TOTAL,PC_GDP,UKD4,2013 ,0.87
A,TOTAL,PC_GDP,UKD6,2013 ,3.72
A,TOTAL,PC_GDP,UKD7,2013 ,1.64
A,TOTAL,PC_GDP,UKE1,2013 ,0.08
A,TOTAL,PC_GDP,UKE2,2013 ,1.99
A,TOTAL,PC_GDP,UKE3,2013 ,1.04
A,TOTAL,PC_GDP,UKE4,2013 ,1.08
A,TOTAL,PC_GDP,UKF1,2013 ,2.54
A,TOTAL,PC_GDP,UKF2,2013 ,1.23
A,TOTAL,PC_GDP,UKF3,2013 ,0.33
A,TOTAL,PC_GDP,UKG1,2013 ,2.51
A,TOTAL,PC_GDP,UKG2,2013 ,0.64
A,TOTAL,PC_GDP,UKG3,2013 ,1.65
A,TOTAL,PC_GDP,UKH1,2013 ,4.76
A,TOTAL,PC_GDP,UKH2,2013 ,3.75
A,TOTAL,PC_GDP,UKH3,2013 ,1.58
A,TOTAL,PC_GDP,UKI1,2013 ,1.19
A,TOTAL,PC_GDP,UKI2,2013 ,0.51
A,TOTAL,PC_GDP,UKI3,2013 ,1.62
A,TOTAL,PC_GDP,UKI4,2013 ,0.43
A,TOTAL,PC_GDP,UKI5,2013 ,0.25
A,TOTAL,PC_GDP,UKI6,2013 ,0.55
A,TOTAL,PC_GDP,UKI7,2013 ,0.49
A,TOTAL,PC_GDP,UKJ1,2013 ,3.38
A,TOTAL,PC_GDP,UKJ2,2013 ,1.53
A,TOTAL,PC_GDP,UKJ3,2013 ,2.57
A,TOTAL,PC_GDP,UKJ4,2013 ,1.26
A,TOTAL,PC_GDP,UKK1,2013 ,2.51
A,TOTAL,PC_GDP,UKK2,2013 ,0.83
A,TOTAL,PC_GDP,UKK3,2013 ,0.2
A,TOTAL,PC_GDP,UKK4,2013 ,0.81
A,TOTAL,PC_GDP,UKL1,2013 ,0.62
A,TOTAL,PC_GDP,UKL2,2013 ,1.68
A,TOTAL,PC_GDP,UKM2,2013 ,2.2
A,TOTAL,PC_GDP,UKM3,2013 ,1.08
A,TOTAL,PC_GDP,UKM5,2013 ,1.33
A,TOTAL,PC_GDP,UKM6,2013 ,0.61
A,TOTAL,PC_GDP,UKN0,2013 ,1.54
A,TOTAL,PC_GDP,BE10,2014 ,1.62
A,TOTAL,PC_GDP,BE21,2014 ,3.02
A,TOTAL,PC_GDP,BE22,2014 ,1.32
A,TOTAL,PC_GDP,BE23,2014 ,2.5
A,TOTAL,PC_GDP,BE24,2014 ,4.16
A,TOTAL,PC_GDP,BE25,2014 ,1.06
A,TOTAL,PC_GDP,BE31,2014 ,6.61
A,TOTAL,PC_GDP,BE32,2014 ,1.63
A,TOTAL,PC_GDP,BE33,2014 ,1.86
A,TOTAL,PC_GDP,BE34,2014 ,0.72
A,TOTAL,PC_GDP,BE35,2014 ,1.23
A,TOTAL,PC_GDP,BEZZ,2014 ,0.0
A,TOTAL,PC_GDP,BG31,2014 ,0.2
A,TOTAL,PC_GDP,BG32,2014 ,0.15
