freq,unit,sectperf,geo,Ano,Valor
A,PC_HC,HES,FI,2014 ,47.59
A,PC_HC,HES,FR,2014 ,35.44
A,PC_HC,HES,HR,2014 ,48.77
A,PC_HC,HES,HU,2014 ,38.96
A,PC_HC,HES,IE,2014 ,45.23
A,PC_HC,HES,IT,2014 ,40.33
A,PC_HC,HES,JP,2014 ,25.94
A,PC_HC,HES,KR,2014 ,29.36
A,PC_HC,HES,LT,2014 ,55.38
A,PC_HC,HES,LU,2014 ,39.2
A,PC_HC,HES,LV,2014 ,52.99
A,PC_HC,HES,ME,2014 ,44.71
A,PC_HC,HES,MT,2014 ,34.39
A,PC_HC,HES,NL,2014 ,41.8
A,PC_HC,HES,NO,2014 ,47.33
A,PC_HC,HES,PL,2014 ,43.28
A,PC_HC,HES,PT,2014 ,48.07
A,PC_HC,HES,RO,2014 ,47.16
A,PC_HC,HES,RS,2014 ,48.67
A,PC_HC,HES,RU,2014 ,45.94
A,PC_HC,HES,SI,2014 ,42.62
A,PC_HC,HES,SK,2014 ,45.69
A,PC_HC,HES,TR,2014 ,42.3
A,PC_HC,HES,UK,2014 ,44.08
A,PC_HC,PNP,BA,2014 ,50.0
A,PC_HC,PNP,BE,2014 ,44.19
A,PC_HC,PNP,BG,2014 ,44.14
A,PC_HC,PNP,CY,2014 ,31.16
A,PC_HC,PNP,CZ,2014 ,43.1
A,PC_HC,PNP,DK,2014 ,60.92
A,PC_HC,PNP,EA20,2014 ,47.58
A,PC_HC,PNP,EA21,2014 ,47.55
A,PC_HC,PNP,EE,2014 ,54.95
A,PC_HC,PNP,ES,2014 ,51.72
A,PC_HC,PNP,EU27_2020,2014 ,47.61
A,PC_HC,PNP,FI,2014 ,57.99
A,PC_HC,PNP,FR,2014 ,41.74
A,PC_HC,PNP,IT,2014 ,50.62
A,PC_HC,PNP,JP,2014 ,13.81
A,PC_HC,PNP,KR,2014 ,26.97
A,PC_HC,PNP,ME,2014 ,60.0
A,PC_HC,PNP,PL,2014 ,48.21
A,PC_HC,PNP,PT,2014 ,52.29
A,PC_HC,PNP,RO,2014 ,40.0
A,PC_HC,PNP,RS,2014 ,57.14
A,PC_HC,PNP,RU,2014 ,38.03
A,PC_HC,PNP,SI,2014 ,7.69
A,PC_HC,PNP,SK,2014 ,41.82
A,PC_HC,PNP,UK,2014 ,44.48
A,PC_HC,TOTAL,BA,2014 ,44.29
A,PC_HC,TOTAL,BG,2014 ,49.47
A,PC_HC,TOTAL,CY,2014 ,38.17
A,PC_HC,TOTAL,CZ,2014 ,27.19
A,PC_HC,TOTAL,EE,2014 ,44.02
A,PC_HC,TOTAL,ES,2014 ,39.59
A,PC_HC,TOTAL,FI,2014 ,32.1
A,PC_HC,TOTAL,FR,2014 ,26.14
A,PC_HC,TOTAL,HR,2014 ,48.91
A,PC_HC,TOTAL,HU,2014 ,30.36
A,PC_HC,TOTAL,IT,2014 ,36.02
A,PC_HC,TOTAL,JP,2014 ,14.7
A,PC_HC,TOTAL,KR,2014 ,18.49
A,PC_HC,TOTAL,LT,2014 ,50.25
A,PC_HC,TOTAL,LU,2014 ,39.12
A,PC_HC,TOTAL,ME,2014 ,49.12
A,PC_HC,TOTAL,MT,2014 ,30.39
A,PC_HC,TOTAL,NL,2014 ,24.93
A,PC_HC,TOTAL,NO,2014 ,37.43
A,PC_HC,TOTAL,PL,2014 ,37.23
A,PC_HC,TOTAL,PT,2014 ,44.29
A,PC_HC,TOTAL,RO,2014 ,46.01
A,PC_HC,TOTAL,RS,2014 ,49.15
A,PC_HC,TOTAL,RU,2014 ,40.52
A,PC_HC,TOTAL,SI,2014 ,36.09
A,PC_HC,TOTAL,SK,2014 ,42.49
A,PC_HC,TOTAL,TR,2014 ,36.89
A,PC_HC,TOTAL,UK,2014 ,37.41
A,PC_HC,BES,AT,2015 ,17.09
A,PC_HC,BES,BE,2015 ,27.15
A,PC_HC,BES,BG,2015 ,37.54
A,PC_HC,BES,CH,2015 ,23.33
A,PC_HC,BES,CY,2015 ,32.41
A,PC_HC,BES,CZ,2015 ,12.81
A,PC_HC,BES,DE,2015 ,14.72
A,PC_HC,BES,DK,2015 ,24.47
A,PC_HC,BES,EA20,2015 ,20.01
A,PC_HC,BES,EA21,2015 ,20.14
A,PC_HC,BES,EE,2015 ,27.95
A,PC_HC,BES,EL,2015 ,27.61
A,PC_HC,BES,ES,2015 ,30.67
A,PC_HC,BES,EU27_2020,2015 ,20.22
A,PC_HC,BES,FI,2015 ,17.33
A,PC_HC,BES,HR,2015 ,42.15
A,PC_HC,BES,HU,2015 ,18.08
A,PC_HC,BES,IE,2015 ,24.06
A,PC_HC,BES,IT,2015 ,23.06
A,PC_HC,BES,JP,2015 ,8.56
A,PC_HC,BES,KR,2015 ,14.85
A,PC_HC,BES,LT,2015 ,29.25
A,PC_HC,BES,LU,2015 ,11.89
A,PC_HC,BES,LV,2015 ,40.65
A,PC_HC,BES,ME,2015 ,36.44
A,PC_HC,BES,MK,2015 ,57.22
A,PC_HC,BES,MT,2015 ,20.97
A,PC_HC,BES,NL,2015 ,18.8
A,PC_HC,BES,NO,2015 ,22.81
A,PC_HC,BES,PL,2015 ,20.28
A,PC_HC,BES,PT,2015 ,31.15
A,PC_HC,BES,RO,2015 ,34.57
A,PC_HC,BES,RS,2015 ,33.79
A,PC_HC,BES,RU,2015 ,36.39
A,PC_HC,BES,SE,2015 ,21.55
A,PC_HC,BES,SI,2015 ,26.04
A,PC_HC,BES,SK,2015 ,17.65
A,PC_HC,BES,TR,2015 ,24.37
A,PC_HC,BES,UK,2015 ,21.12
A,PC_HC,GOV,AT,2015 ,46.49
A,PC_HC,GOV,BE,2015 ,37.21
A,PC_HC,GOV,BG,2015 ,55.67
A,PC_HC,GOV,CH,2015 ,35.98
A,PC_HC,GOV,CY,2015 ,55.93
A,PC_HC,GOV,CZ,2015 ,38.84
A,PC_HC,GOV,DE,2015 ,35.43
A,PC_HC,GOV,DK,2015 ,49.67
A,PC_HC,GOV,EA20,2015 ,42.11
A,PC_HC,GOV,EA21,2015 ,42.42
A,PC_HC,GOV,EE,2015 ,61.23
A,PC_HC,GOV,EL,2015 ,42.97
A,PC_HC,GOV,ES,2015 ,50.22
A,PC_HC,GOV,EU27_2020,2015 ,42.66
A,PC_HC,GOV,FI,2015 ,44.19
A,PC_HC,GOV,HR,2015 ,52.36
A,PC_HC,GOV,HU,2015 ,42.89
A,PC_HC,GOV,IE,2015 ,41.01
A,PC_HC,GOV,IT,2015 ,47.62
A,PC_HC,GOV,JP,2015 ,17.75
A,PC_HC,GOV,KR,2015 ,24.92
A,PC_HC,GOV,LT,2015 ,51.06
A,PC_HC,GOV,LU,2015 ,39.82
A,PC_HC,GOV,LV,2015 ,57.97
A,PC_HC,GOV,ME,2015 ,54.97
A,PC_HC,GOV,MK,2015 ,49.76
A,PC_HC,GOV,MT,2015 ,26.47
A,PC_HC,GOV,NL,2015 ,38.5
A,PC_HC,GOV,NO,2015 ,46.46
A,PC_HC,GOV,PL,2015 ,41.82
A,PC_HC,GOV,PT,2015 ,58.94
A,PC_HC,GOV,RO,2015 ,49.37
A,PC_HC,GOV,RS,2015 ,57.2
A,PC_HC,GOV,RU,2015 ,43.99
A,PC_HC,GOV,SE,2015 ,45.57
A,PC_HC,GOV,SI,2015 ,50.03
A,PC_HC,GOV,SK,2015 ,49.48
A,PC_HC,GOV,TR,2015 ,30.39
A,PC_HC,GOV,UK,2015 ,37.8
A,PC_HC,HES,AT,2015 ,39.93
A,PC_HC,HES,BE,2015 ,41.59
A,PC_HC,HES,BG,2015 ,51.71
A,PC_HC,HES,CH,2015 ,38.78
A,PC_HC,HES,CY,2015 ,37.57
A,PC_HC,HES,CZ,2015 ,35.17
A,PC_HC,HES,DE,2015 ,38.7
A,PC_HC,HES,DK,2015 ,42.03
A,PC_HC,HES,EA20,2015 ,40.93
A,PC_HC,HES,EA21,2015 ,41.03
A,PC_HC,HES,EE,2015 ,47.35
A,PC_HC,HES,EL,2015 ,37.73
A,PC_HC,HES,ES,2015 ,41.91
A,PC_HC,HES,EU27_2020,2015 ,41.33
A,PC_HC,HES,FI,2015 ,47.73
A,PC_HC,HES,HR,2015 ,48.94
A,PC_HC,HES,HU,2015 ,39.44
A,PC_HC,HES,IE,2015 ,45.17
A,PC_HC,HES,IT,2015 ,40.83
A,PC_HC,HES,JP,2015 ,26.27
A,PC_HC,HES,KR,2015 ,29.48
A,PC_HC,HES,LT,2015 ,55.48
A,PC_HC,HES,LU,2015 ,38.14
A,PC_HC,HES,LV,2015 ,52.06
A,PC_HC,HES,ME,2015 ,44.56
A,PC_HC,HES,MK,2015 ,47.86
A,PC_HC,HES,MT,2015 ,33.14
A,PC_HC,HES,NL,2015 ,42.23
A,PC_HC,HES,NO,2015 ,47.59
A,PC_HC,HES,PL,2015 ,43.58
A,PC_HC,HES,PT,2015 ,48.6
A,PC_HC,HES,RO,2015 ,48.54
A,PC_HC,HES,RS,2015 ,48.96
A,PC_HC,HES,RU,2015 ,46.35
A,PC_HC,HES,SE,2015 ,44.85
A,PC_HC,HES,SI,2015 ,43.24
A,PC_HC,HES,SK,2015 ,46.07
A,PC_HC,HES,TR,2015 ,43.6
A,PC_HC,HES,UK,2015 ,45.33
A,PC_HC,PNP,AT,2015 ,48.79
A,PC_HC,PNP,BE,2015 ,49.15
A,PC_HC,PNP,BG,2015 ,46.26
A,PC_HC,PNP,CY,2015 ,30.3
A,PC_HC,PNP,CZ,2015 ,45.73
A,PC_HC,PNP,DK,2015 ,62.55
A,PC_HC,PNP,EA20,2015 ,48.73
A,PC_HC,PNP,EA21,2015 ,48.71
A,PC_HC,PNP,EE,2015 ,50.41
A,PC_HC,PNP,EL,2015 ,51.23
A,PC_HC,PNP,ES,2015 ,51.75
A,PC_HC,PNP,EU27_2020,2015 ,48.84
A,PC_HC,PNP,FI,2015 ,58.41
A,PC_HC,PNP,IT,2015 ,51.6
A,PC_HC,PNP,JP,2015 ,14.1
A,PC_HC,PNP,KR,2015 ,27.54
A,PC_HC,PNP,ME,2015 ,48.65
A,PC_HC,PNP,MK,2015 ,60.0
A,PC_HC,PNP,PL,2015 ,48.17
A,PC_HC,PNP,PT,2015 ,51.07
A,PC_HC,PNP,RO,2015 ,48.13
A,PC_HC,PNP,RS,2015 ,57.14
A,PC_HC,PNP,RU,2015 ,42.31
A,PC_HC,PNP,SE,2015 ,46.22
A,PC_HC,PNP,SI,2015 ,18.18
A,PC_HC,PNP,SK,2015 ,43.84
A,PC_HC,PNP,UK,2015 ,48.66
A,PC_HC,TOTAL,AT,2015 ,29.49
A,PC_HC,TOTAL,BE,2015 ,34.12
A,PC_HC,TOTAL,BG,2015 ,47.93
A,PC_HC,TOTAL,CH,2015 ,33.56
A,PC_HC,TOTAL,CY,2015 ,37.94
A,PC_HC,TOTAL,CZ,2015 ,26.94
A,PC_HC,TOTAL,DE,2015 ,28.0
A,PC_HC,TOTAL,DK,2015 ,33.84
A,PC_HC,TOTAL,EA20,2015 ,31.91
A,PC_HC,TOTAL,EA21,2015 ,32.07
A,PC_HC,TOTAL,EE,2015 ,43.88
A,PC_HC,TOTAL,EL,2015 ,38.0
A,PC_HC,TOTAL,ES,2015 ,40.03
A,PC_HC,TOTAL,EU27_2020,2015 ,32.46
A,PC_HC,TOTAL,FI,2015 ,32.29
A,PC_HC,TOTAL,HR,2015 ,48.91
A,PC_HC,TOTAL,HU,2015 ,30.84
A,PC_HC,TOTAL,IE,2015 ,35.32
A,PC_HC,TOTAL,IT,2015 ,36.04
A,PC_HC,TOTAL,JP,2015 ,15.25
A,PC_HC,TOTAL,KR,2015 ,18.9
A,PC_HC,TOTAL,LT,2015 ,50.74
A,PC_HC,TOTAL,LU,2015 ,28.36
A,PC_HC,TOTAL,LV,2015 ,51.02
A,PC_HC,TOTAL,ME,2015 ,47.57
A,PC_HC,TOTAL,MK,2015 ,49.05
A,PC_HC,TOTAL,MT,2015 ,28.54
A,PC_HC,TOTAL,NL,2015 ,25.2
A,PC_HC,TOTAL,NO,2015 ,37.38
A,PC_HC,TOTAL,PL,2015 ,37.02
A,PC_HC,TOTAL,PT,2015 ,44.14
A,PC_HC,TOTAL,RO,2015 ,46.23
A,PC_HC,TOTAL,RS,2015 ,49.23
A,PC_HC,TOTAL,RU,2015 ,40.31
A,PC_HC,TOTAL,SE,2015 ,33.72
A,PC_HC,TOTAL,SI,2015 ,36.49
A,PC_HC,TOTAL,SK,2015 ,42.19
