freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,GOV,IE	37.79 	38.42 	41.01 	: 	44.17 	: 	45 	: 	49.6 	47.9 	46.76 	: 
A,PC_HC,GOV,IS	36.31 b	: 	: 	: 	45.1 	41.37 	: 	: 	56.45 	60.71 u	62.68 	: 
A,PC_HC,GOV,IT	46.5 	46.89 	47.62 	47.67 	47.84 	48.31 	48.81 	49.26 	49.76 	50.38 	50.68 	: 
A,PC_HC,GOV,JP	16.23 d	16.85 d	17.75 d	18.16 d	18.48 d	18.84 d	19.49 d	20.31 d	20.92 d	21.25 d	21.62 d	: 
A,PC_HC,GOV,KR	24.2 	25.03 	24.92 	25.54 	26.07 	26.49 	27.17 	26.24 	27.8 	28.68 	29.71 	: 
A,PC_HC,GOV,LT	51.36 	52.7 	51.06 	51.34 	52.48 	51.79 	49.89 	50.43 	50.74 	50.66 	51.03 	: 
A,PC_HC,GOV,LU	39.09 	38.98 	39.82 	: 	37.39 	: 	37.83 	: 	37.97 	: 	38.04 	: 
A,PC_HC,GOV,LV	55.19 	56.75 	57.97 	57.99 	55.47 	57.91 	55.49 	55.02 	57.39 	57.21 	54.7 	: 
A,PC_HC,GOV,ME	60.83 	61.3 	54.97 d	: 	63.75 	64.06 	60.49 	: 	: 	: 	: 	: 
A,PC_HC,GOV,MK	: 	: 	49.76 	51.72 	56.37 	64.1 	64.58 	60.35 	: 	55.95 	: 	: 
A,PC_HC,GOV,MT	32 	33.33 	26.47 	30.3 	21.88 	34.38 	29.41 	48.28 	32.35 	38.64 	35.94 	: 
A,PC_HC,GOV,NL	39.81 bd	38.96 d	38.5 d	40.59 d	36.87 d	40.85 d	41.38 d	43.19 d	45.47 d	45.8 bd	46.06 d	: 
A,PC_HC,GOV,NO	45.35 	45.77 	46.46 	46.68 	47.08 	48.12 	48.83 	49.73 	50.16 	50.88 	50.78 	: 
A,PC_HC,GOV,PL	42.2 	41.86 	41.82 	58.19 	53.44 	53.68 	59.48 	55.95 	55.47 	53.78 	53.51 	: 
A,PC_HC,GOV,PT	59.28 b	58.65 	58.94 	60.9 	60.33 	61.08 	60.49 	60.72 	60.88 	61.41 	62.36 	62.99 
A,PC_HC,GOV,RO	48.58 	48.73 	49.37 	49.14 	48.89 	47.57 	48.47 	49.33 	49.2 	49.19 	49.52 	: 
A,PC_HC,GOV,RS	57.71 	58.18 	57.2 	57.36 	59.95 	61.25 	61 	62.13 	61.74 	61.35 	61.6 	60.8 
A,PC_HC,GOV,RU	44.24 e	44.36 e	43.99 	: 	43.16 	42.75 	44.02 	: 	: 	: 	: 	: 
A,PC_HC,GOV,SE	34.5 be	: 	45.57 e	: 	52.44 	: 	49.43 e	: 	49.82 b	: 	52.18 	: 
