Data de Referência;Ano e Mes;Código Tipo Ponto Interação;Descrição Tipo Ponto Interação;Código Meio de Interação;Descrição Meio de Interação;Código do Serviço;Descrição do Serviço;Código Ponto Atendimento;Descrição Ponto Atendiemnto;Processos Iniciados
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;54
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;5
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;6
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;7
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;6
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;4
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;6143
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;512
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;77
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;19
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;114
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;26
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;25
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;15
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;16
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;4
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;12805
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1535
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;9
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;8
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1195
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;50
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;13
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;96
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;2
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;46
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;5376
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;464
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;57
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;21
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;105
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;23
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;36
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;52
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;22
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;15
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;10697
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1255
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;8
2026-02-03;202411;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;9
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1531
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;50
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;10
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;12
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;8
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;1
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;2
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;3
2026-02-03;202511;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;4921
