freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,EL52	0.76 	: 	0.85 	: 	1.17 	1.12 	1.13 	1.38 	1.39 	1.25 	1.51 	: 
A,TOTAL,PC_GDP,EL53	0.35 	: 	0.43 	: 	0.33 	0.46 	0.42 	0.6 	0.58 	0.77 	0.98 	: 
A,TOTAL,PC_GDP,EL54	0.98 	: 	1.21 	: 	1.51 	1.34 	1.46 	1.72 	1.59 	2.27 	1.81 	: 
A,TOTAL,PC_GDP,EL61	0.56 	: 	0.67 	: 	0.67 	0.82 	0.96 	1.21 	1.18 	1.13 	1.13 	: 
A,TOTAL,PC_GDP,EL62	0.27 	: 	0.51 	: 	0.25 	0.35 	0.39 	0.54 	0.62 	0.39 	0.37 	: 
A,TOTAL,PC_GDP,EL63	0.97 	: 	1.33 	: 	1.36 	1.31 	1.39 	1.57 	1.48 	1.83 	1.56 	: 
A,TOTAL,PC_GDP,EL64	0.43 	: 	0.53 	: 	0.46 	0.5 	0.64 	0.84 	0.81 	0.81 	1.07 	: 
A,TOTAL,PC_GDP,EL65	0.38 	: 	0.39 	: 	0.31 	0.64 	0.62 	0.79 	0.72 	1 	1.13 	: 
A,TOTAL,PC_GDP,ES11	0.87 	0.88 	0.88 	0.86 	0.95 	0.95 	0.98 	1.09 	1.1 	1.05 	1.24 	: 
A,TOTAL,PC_GDP,ES12	0.88 	0.83 	0.74 	0.74 	0.81 	0.81 	0.83 	0.91 	0.87 	0.82 	0.98 	: 
A,TOTAL,PC_GDP,ES13	0.93 	0.84 	0.83 	0.83 	0.82 	0.86 	0.84 	0.93 	0.96 	0.89 	0.96 	: 
A,TOTAL,PC_GDP,ES21	2.15 	2.08 	1.95 	1.94 	1.94 	2.02 	1.99 	2.2 	2.32 	2.21 	2.38 	: 
A,TOTAL,PC_GDP,ES22	1.84 	1.79 	1.65 	1.65 	1.76 	1.71 	1.71 	1.93 	1.91 	1.77 	1.79 	: 
A,TOTAL,PC_GDP,ES23	0.81 	0.93 	0.89 	0.84 	0.89 	0.81 	0.77 	0.79 	0.75 	0.84 	0.93 	: 
A,TOTAL,PC_GDP,ES24	0.93 	0.93 	0.92 	0.91 	0.88 	0.92 	0.94 	0.96 	1.02 	1.02 	1.16 	: 
A,TOTAL,PC_GDP,ES30	1.79 	1.7 	1.71 	1.65 	1.66 	1.7 	1.69 	1.95 	1.93 	1.92 	2.04 	: 
A,TOTAL,PC_GDP,ES41	1.03 	1.02 	1.01 	1.11 	1.22 	1.3 	1.34 	1.38 	1.37 	1.32 	1.38 	: 
A,TOTAL,PC_GDP,ES42	0.56 	0.55 	0.55 	0.56 	0.57 	0.53 	0.6 	0.66 	0.8 	0.63 	0.63 	: 
A,TOTAL,PC_GDP,ES43	0.76 	0.68 	0.65 	0.57 	0.58 	0.61 	0.68 	0.66 	0.74 	0.67 	0.71 	: 
A,TOTAL,PC_GDP,ES51	1.54 	1.5 	1.52 	1.46 	1.48 	1.53 	1.51 	1.7 	1.78 	1.87 	1.89 	: 
A,TOTAL,PC_GDP,ES52	1.06 	1.05 	1.01 	1.01 	1 	1.05 	1.09 	1.18 	1.2 	1.16 	1.23 	: 
A,TOTAL,PC_GDP,ES53	0.33 	0.32 	0.31 	0.32 	0.36 	0.39 	0.39 	0.53 	0.48 	0.44 	0.48 	: 
A,TOTAL,PC_GDP,ES61	1.08 	1.06 	1.02 	0.92 	0.92 	0.92 	0.93 	1.09 	1.06 	1.03 	1.15 	: 
A,TOTAL,PC_GDP,ES62	0.85 	0.87 	0.86 	0.92 	0.92 	0.97 	1 	1.15 	1.09 	1.04 	1.07 	: 
A,TOTAL,PC_GDP,ES63	0.06 	0.07 	0.06 	: @C	: @C	: @C	: @C	: @C	0.21 	0.23 	0.23 	: 
A,TOTAL,PC_GDP,ES64	0.13 	0.13 	0.07 	: @C	: @C	: @C	: @C	: @C	0.35 	0.37 	0.36 	: 
A,TOTAL,PC_GDP,ES70	0.52 	0.49 	0.5 	0.47 	0.5 	0.47 	0.47 	0.56 	0.56 	0.56 	0.57 	: 
A,TOTAL,PC_GDP,ESZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,TOTAL,PC_GDP,FI19	3.25 	: 	2.84 	2.53 	2.47 	2.56 	2.63 	2.71 	2.74 	2.84 	2.96 	: 
A,TOTAL,PC_GDP,FI1B	3.84 	: 	3.55 	3.41 	3.47 	3.47 	3.5 	3.66 	3.77 	3.73 	3.88 	: 
A,TOTAL,PC_GDP,FI1C	2.44 	: 	1.99 	1.86 	1.72 	1.74 	1.8 	1.86 	1.87 	1.89 	1.91 	: 
A,TOTAL,PC_GDP,FI1D	3.08 	: 	2.49 	2.47 	2.57 	2.6 	2.58 	2.69 	2.78 	2.74 	2.78 	: 
A,TOTAL,PC_GDP,FI20	0.3 	: 	0.26 	0.33 	0.31 	0.43 	0.34 	0.4 	0.39 	0.44 	0.53 	: 
A,TOTAL,PC_GDP,FR10	2.9 	: 	: 	: 	: 	: 	: 	: 	2.83 	: 	2.9 	: 
A,TOTAL,PC_GDP,FR21	0.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR22	1.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR23	1.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR24	1.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR25	1.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR26	0.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR30	0.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR41	1.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,FR42	1.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
